,DATASET,COMPRESSION_TYPE,IMAGE,COMPRESSION_LEVEL,ACCURACY,F1_SCORE,MCC,JACCARD
113,comofod,JPEG,13,6,0.9135398864746094,0.08737668612844776,0.20381979228445607,0.04568421052631579
114,comofod,JPEG,13,7,0.9168281555175781,0.15160122961982955,0.27373902771946124,0.08201759925897857
115,comofod,JPEG,13,8,0.925384521484375,0.3001788908765653,0.40355665954065695,0.17659440117869923
116,comofod,JPEG,13,9,0.9148941040039062,0.11468253968253968,0.23502281065995187,0.06082929909492738
117,comofod,JPEG,14,1,0.9801521301269531,0.0,-0.004576733989600419,0.0
118,comofod,JPEG,14,2,0.98162841796875,0.042163882259347654,0.14138482741100145,0.021535960991466884
119,comofod,JPEG,14,3,0.9818267822265625,0.06035502958579882,0.17421584215275396,0.03111653447223917
120,comofod,JPEG,14,4,0.9821014404296875,0.08715953307392996,0.21154017609079423,0.045565500406834825
121,comofod,JPEG,14,5,0.9821052551269531,0.09000969932104752,0.21199216972339965,0.047125736339630304
122,comofod,JPEG,14,6,0.9827079772949219,0.1471307619943556,0.27665239971151895,0.07940698619008936
123,comofod,JPEG,14,7,0.9833602905273438,0.20372398685651696,0.3328555435401025,0.11341463414634147
124,comofod,JPEG,14,8,0.9846267700195312,0.30732210381574426,0.4212031924463096,0.18155970755483347
125,comofod,JPEG,14,9,0.9831123352050781,0.1815492697356258,0.31269159413805875,0.09983733224888167
126,comofod,JPEG,15,1,0.8935203552246094,0.03264598856350719,0.11989032522339596,0.016593855693348366
127,comofod,JPEG,15,2,0.8943824768066406,0.0480660134089737,0.1466047944585205,0.024624815049672375
128,comofod,JPEG,15,3,0.895294189453125,0.06454911049008248,0.1702818561063738,0.03335094206726536
129,comofod,JPEG,15,4,0.8966598510742188,0.08843125378558449,0.2007180629713574,0.046261089987325726
130,comofod,JPEG,15,5,0.8981246948242188,0.11246261216350947,0.22918552223898642,0.0595816606803296
131,comofod,JPEG,15,6,0.8997726440429688,0.14019242096995876,0.25728235114554104,0.07538006756756757
132,comofod,JPEG,15,7,0.9041862487792969,0.20824007817671722,0.32138804427422885,0.11622097114707952
133,comofod,JPEG,15,8,0.9124870300292969,0.3234938515525936,0.41711944336691575,0.1929571519031872
